SMILES,Rotational Constant A,Rotational Constant B,Rotational Constant C,Dipole Moment,Isotropic Polarizability,Energy of HOMO,Energy of LUMO,HOMO-LUMO Gap,Electronic Spatial Extent,ZPVE,Internal Energy at 0K,Internal Energy at 298.15K,Enthalpy at 298.15K,Free Energy at 298.15K,Heat Capacity at 298.15K
CC(C)(C)CCO,4.10653,1.40201,1.38219,1.3499,70.67,-0.2609,0.0731,0.334,1017.7512,0.192336,-312.125621,-312.11614,-312.115196,-312.159175,34.638
CC(C)(O)CCO,4.34045,1.43807,1.39965,0.1324,63.64,-0.2573,0.0644,0.3217,969.783,0.168637,-348.056024,-348.046794,-348.04585,-348.0892,33.548
CCCC(C)(C)C,4.0274,1.38811,1.37066,0.0484,77.88,-0.2997,0.0761,0.3758,1075.9653,0.215798,-276.205821,-276.196156,-276.195211,-276.239455,35.867
CCCC(C)(C)O,4.25341,1.42238,1.38683,1.2727,70.88,-0.2594,0.0658,0.3252,1028.318,0.192,-312.136049,-312.126599,-312.125655,-312.169395,34.823
CCOC(C)(C)C,4.06598,1.55413,1.52831,0.9971,71.47,-0.244,0.0805,0.3245,977.9934,0.191545,-312.129019,-312.119517,-312.118573,-312.162768,34.56
COCC(C)(C)C,4.18284,1.52738,1.51528,0.9723,71.53,-0.2516,0.0782,0.3298,977.2869,0.191792,-312.122696,-312.11323,-312.112286,-312.156004,34.198
COCC(C)(C)O,4.31774,1.54329,1.53705,0.3832,64.38,-0.254,0.0761,0.3301,932.5617,0.168052,-348.050463,-348.041129,-348.040185,-348.083789,33.192
CC(C)C(C)(C)C,2.98694,2.14771,1.78753,0.0493,77.05,-0.2968,0.0736,0.3704,897.8057,0.215354,-276.202586,-276.192913,-276.191969,-276.235995,36.54
CC(C)C(C)(C)O,3.0668,2.21152,1.83806,1.3142,70.16,-0.26,0.0673,0.3273,851.0397,0.192033,-312.133805,-312.124516,-312.123572,-312.16637,35.288
CC(O)C(C)(C)C,3.05647,2.20295,1.84239,1.4315,69.98,-0.259,0.068,0.327,848.8521,0.192044,-312.131841,-312.122522,-312.121578,-312.164423,35.279
CC(O)C(C)(C)O,3.14334,2.26158,1.89442,1.6833,63.11,-0.2613,0.0648,0.3261,803.23,0.168225,-348.061993,-348.052811,-348.051867,-348.094469,34.301
CC(C)CC(C)C,4.07049,1.34846,1.28363,0.0889,77.99,-0.2993,0.0791,0.3784,1110.9484,0.216054,-276.20592,-276.196248,-276.195304,-276.240153,35.464
CC(C)CC(C)O,4.32241,1.38154,1.30878,1.3628,71.24,-0.2617,0.0712,0.3329,1057.3976,0.192564,-312.132858,-312.123425,-312.122481,-312.166682,34.288
CC(C)OC(C)C,4.06437,1.54353,1.36761,1.0249,71.72,-0.2419,0.0805,0.3224,1021.1314,0.191749,-312.131398,-312.121927,-312.120983,-312.165172,34.217
CC(O)CC(C)O,4.54798,1.37242,1.35519,0.5234,64.36,-0.2526,0.0745,0.3271,1009.7692,0.169012,-348.060054,-348.050872,-348.049928,-348.093433,33.159
CC(C)(CO)CO,4.34167,1.6366,1.63065,2.6199,63.41,-0.2604,0.0669,0.3272,871.3942,0.168887,-348.048844,-348.039503,-348.038559,-348.08189,33.492
CC(O)(CO)CO,4.62576,1.69979,1.66693,3.2052,56.14,-0.2573,0.0541,0.3115,822.4301,0.146175,-383.983835,-383.975187,-383.974242,-384.016109,31.604
CCC(C)(C)CC,4.08658,1.55195,1.53869,0.0668,77.42,-0.2984,0.0746,0.373,992.1533,0.216091,-276.202384,-276.192746,-276.191802,-276.235905,35.857
CCC(C)(C)CO,4.21306,1.59526,1.58608,1.3701,70.35,-0.2634,0.071,0.3344,930.2807,0.19263,-312.126404,-312.116983,-312.116038,-312.159466,34.624
CCC(C)(C)OC,3.19752,2.02748,1.75763,1.0638,70.74,-0.2456,0.0788,0.3244,886.066,0.191831,-312.122563,-312.113075,-312.112131,-312.156051,34.466
CCC(C)(O)CC,4.35126,1.60871,1.57457,1.3308,70.47,-0.26,0.064,0.324,941.358,0.192392,-312.134532,-312.125143,-312.124199,-312.167545,34.75
CCC(C)(O)CO,4.51654,1.65703,1.62312,2.265,63.37,-0.2538,0.0618,0.3155,880.3669,0.169345,-348.059242,-348.050232,-348.049288,-348.091844,33.189
COC(C)(C)CO,4.28212,1.71415,1.70186,0.3321,63.67,-0.2468,0.071,0.3178,861.9668,0.168315,-348.044714,-348.035382,-348.034438,-348.077932,33.275
CC(C)CCCO,6.28879,0.99301,0.90285,1.299,71.46,-0.2615,0.0807,0.3422,1317.5841,0.193012,-312.126356,-312.116803,-312.115859,-312.160781,33.643
CC(C)OCCO,5.06464,1.37057,1.14452,2.3094,64.84,-0.2571,0.0766,0.3337,1066.9097,0.169552,-348.051405,-348.042453,-348.041508,-348.085275,31.621
CC(O)CCCO,6.89189,1.00495,0.92217,1.7364,64.63,-0.2581,0.0724,0.3304,1259.7952,0.169494,-348.052763,-348.043488,-348.042544,-348.086794,32.445
CCCCC(C)C,6.08497,0.99017,0.90107,0.0577,78.7,-0.2997,0.0862,0.3858,1383.4554,0.216412,-276.206257,-276.196497,-276.195553,-276.240836,34.915
CCCCC(C)O,6.54138,1.00069,0.91782,1.4237,71.61,-0.261,0.0739,0.3349,1326.5598,0.192944,-312.133063,-312.123614,-312.12267,-312.167188,33.692
CCCOC(C)C,6.28174,1.09275,0.98845,0.9066,72.3,-0.2456,0.088,0.3336,1264.1147,0.192289,-312.128001,-312.118424,-312.11748,-312.162713,33.453
CCOCC(C)C,6.23606,1.12984,1.01529,0.8536,72.37,-0.2489,0.088,0.337,1232.7486,0.192456,-312.126544,-312.117027,-312.116082,-312.160843,33.273
CCOCC(C)O,5.02395,1.27143,1.24031,2.2405,64.82,-0.2572,0.0792,0.3364,1070.8534,0.169559,-348.053064,-348.044051,-348.043107,-348.086845,31.636
COCCC(C)C,6.41007,1.04951,0.95047,1.0262,72.19,-0.2495,0.0835,0.333,1286.4754,0.19265,-312.119017,-312.109494,-312.10855,-312.153443,33.135
COCCC(C)O,6.92163,1.06106,0.96842,0.4474,65.05,-0.2482,0.0717,0.3199,1230.4102,0.169192,-348.045948,-348.036728,-348.035784,-348.079973,31.914
CC(CO)CCO,6.24888,1.09834,0.98985,0.1428,64.09,-0.2612,0.0758,0.337,1170.6891,0.169582,-348.046805,-348.037437,-348.036493,-348.080947,32.45
CCC(C)CCO,5.89918,1.09101,0.98094,1.3242,71.22,-0.261,0.0805,0.3416,1234.4279,0.193096,-312.124451,-312.11489,-312.113946,-312.158831,33.666
CCC(C)COC,6.26736,1.16008,1.04503,0.9803,72.02,-0.2504,0.0863,0.3367,1196.148,0.192734,-312.119596,-312.110095,-312.109151,-312.153779,33.142
CCC(O)CCO,6.80381,1.09962,1.00367,0.2392,64.19,-0.2584,0.0704,0.3288,1181.6462,0.169589,-348.053386,-348.044152,-348.043208,-348.087167,32.434
CCC(O)COC,4.71846,1.34793,1.11325,1.8129,64.79,-0.2568,0.0729,0.3297,1100.4745,0.169193,-348.045292,-348.03605,-348.035106,-348.079197,31.975
CCCC(C)CC,5.74284,1.08531,0.97761,0.0449,78.49,-0.2976,0.0854,0.383,1297.8598,0.216515,-276.204532,-276.194768,-276.193824,-276.239054,34.924
CCCC(C)CO,6.06909,1.09287,0.98659,1.2822,71.32,-0.2624,0.0787,0.3411,1233.9153,0.192959,-312.12682,-312.117231,-312.116287,-312.161168,33.726
CCCC(C)OC,4.31202,1.36327,1.10639,1.0487,71.86,-0.2476,0.0865,0.3341,1146.0763,0.192496,-312.12312,-312.113577,-312.112633,-312.157458,33.356
CCCC(O)CC,6.5984,1.09387,1.00053,1.3566,71.48,-0.2611,0.0722,0.3334,1244.8852,0.192945,-312.133269,-312.123814,-312.12287,-312.167204,33.722
CCCC(O)CO,6.97654,1.10194,1.00752,2.3595,64.07,-0.2553,0.0619,0.3173,1181.3562,0.170232,-348.056615,-348.047732,-348.046788,-348.089986,31.768
CCOC(C)CC,3.43194,1.63212,1.19581,0.9463,71.94,-0.2462,0.0873,0.3335,1080.5854,0.192354,-312.128429,-312.118892,-312.117948,-312.162923,33.462
CCOC(C)CO,4.23846,1.5069,1.273,2.262,64.62,-0.2529,0.0811,0.334,1013.1638,0.169573,-348.051118,-348.04206,-348.041116,-348.08514,31.666
COC(C)CCO,4.41106,1.35833,1.10529,1.8037,64.36,-0.2474,0.0804,0.3278,1090.3308,0.169201,-348.043466,-348.034159,-348.033214,-348.077616,32.093
COCC(C)CO,6.56616,1.16957,1.05454,2.2837,64.88,-0.2513,0.076,0.3273,1134.6836,0.169225,-348.040439,-348.031116,-348.030172,-348.074454,31.91
COCC(C)OC,6.30058,1.24169,1.10631,0.1877,65.34,-0.2495,0.089,0.3385,1112.8529,0.168729,-348.034975,-348.025608,-348.024664,-348.06935,31.597
COCC(O)CO,7.76358,1.18888,1.08352,3.1223,57.66,-0.2586,0.0725,0.3311,1076.9996,0.146641,-383.971058,-383.962399,-383.961455,-384.004288,29.996
OCCC(O)CO,7.20468,1.10715,1.011,2.2295,56.91,-0.2576,0.0605,0.3181,1118.4464,0.146825,-383.976576,-383.967904,-383.96696,-384.009816,30.491
CC(C)C(C)CO,3.87789,1.6728,1.25833,1.3709,70.78,-0.2616,0.0786,0.3403,1008.5876,0.192855,-312.12438,-312.114895,-312.11395,-312.158274,34.23
CC(C)C(O)CO,4.11772,1.70212,1.28946,2.4166,63.48,-0.2553,0.0631,0.3184,957.8159,0.169985,-348.056093,-348.047277,-348.046333,-348.088867,32.331
CC(O)C(C)CO,3.62415,1.73185,1.46328,2.0779,63.34,-0.2518,0.0657,0.3175,919.7378,0.169416,-348.052027,-348.042805,-348.041861,-348.085398,33.07
CC(O)C(O)CO,4.34993,1.72441,1.31556,1.4463,56.67,-0.2598,0.0616,0.3214,909.1521,0.14615,-383.982605,-383.973862,-383.972918,-384.015368,31.438
CCC(C)C(C)C,3.74455,1.64436,1.23926,0.0663,77.88,-0.2985,0.0837,0.3822,1068.0204,0.216155,-276.201993,-276.192206,-276.191262,-276.237012,35.513
CCC(C)C(C)O,4.18316,1.50735,1.39462,1.399,70.52,-0.2591,0.0702,0.3293,1003.9967,0.192703,-312.130526,-312.121063,-312.120119,-312.164135,34.351
CCC(O)C(C)C,3.97106,1.67266,1.27149,1.4485,70.88,-0.2605,0.0732,0.3336,1017.3033,0.192575,-312.132386,-312.122925,-312.121981,-312.165952,34.372
CCC(O)C(C)O,4.59414,1.55391,1.46149,2.3042,63.83,-0.2568,0.0624,0.3192,943.7099,0.169663,-348.062001,-348.053042,-348.052098,-348.094808,32.662
COC(C)C(C)C,3.71059,1.85443,1.34447,0.9884,71.29,-0.2475,0.0839,0.3314,977.8871,0.192185,-312.122262,-312.112762,-312.111818,-312.156025,33.936
COC(C)C(C)O,3.85499,1.86051,1.3574,1.8458,64.16,-0.2497,0.0751,0.3248,932.3201,0.168591,-348.048744,-348.03948,-348.038536,-348.082288,32.797
CCC(CC)CC,2.15815,2.15629,1.20552,0.0428,77.99,-0.2984,0.0907,0.3891,1106.1305,0.216646,-276.202311,-276.192573,-276.191629,-276.236685,34.96
CCC(CC)CO,2.29738,2.13674,1.22052,1.3442,71.01,-0.2612,0.0795,0.3407,1050.7496,0.193227,-312.12476,-312.115218,-312.114274,-312.159031,33.705
CCC(CC)OC,3.37774,1.84685,1.30211,0.971,71.16,-0.2427,0.0838,0.3265,1006.5324,0.192655,-312.120708,-312.111188,-312.110244,-312.15483,33.384
CCC(CO)CO,2.32831,2.18435,1.23211,1.9788,63.73,-0.2536,0.0725,0.3261,998.5187,0.169955,-348.047695,-348.038472,-348.037528,-348.081467,32.362
CCC(CO)OC,2.85748,2.15814,1.43085,2.0769,63.93,-0.2497,0.0738,0.3234,922.4934,0.16985,-348.045786,-348.03679,-348.035846,-348.079296,31.52
COC(CO)CO,3.58012,1.94128,1.34942,1.0933,56.52,-0.2501,0.0627,0.3127,891.008,0.146813,-383.966179,-383.957419,-383.956475,-384.000431,30.075
OCC(CO)CO,3.69485,1.75261,1.27766,2.8475,56.49,-0.2502,0.0631,0.3133,922.84,0.147544,-383.973315,-383.964834,-383.963889,-384.006032,30.153
CCCCCCC,12.05905,0.72076,0.70066,0.0603,79.31,-0.2992,0.091,0.3902,1707.527,0.216981,-276.206318,-276.19656,-276.195616,-276.241061,34.275
CCCCCCO,12.88146,0.71947,0.69907,1.3734,72.02,-0.2613,0.0815,0.3428,1637.1265,0.193562,-312.126342,-312.116795,-312.115851,-312.160938,32.999
CCCCCOC,13.5649,0.75306,0.73294,0.9602,72.75,-0.2495,0.09,0.3395,1600.4792,0.193179,-312.119261,-312.109727,-312.108783,-312.153914,32.495
CCCCOCC,12.26849,0.79261,0.76578,0.9111,72.96,-0.2477,0.0913,0.3391,1556.5634,0.192997,-312.124533,-312.115001,-312.114056,-312.159241,32.611
CCCOCCC,13.60466,0.79277,0.77066,0.8012,72.83,-0.2478,0.0917,0.3396,1554.0921,0.192972,-312.124574,-312.115003,-312.114059,-312.159319,32.65
CCCOCCO,8.01396,0.96114,0.90219,2.249,65.31,-0.2596,0.0845,0.3441,1311.4578,0.170138,-348.047609,-348.038588,-348.037644,-348.081975,30.883
CCOCCCO,13.10376,0.79168,0.76441,2.2451,65.7,-0.2495,0.0784,0.3279,1488.8173,0.169512,-348.043668,-348.034323,-348.033379,-348.078309,31.35
CCOCCOC,13.92568,0.83027,0.80335,0.136,66.22,-0.2497,0.0864,0.3361,1453.3778,0.169159,-348.035847,-348.026493,-348.025549,-348.070595,30.882
COCCCCO,14.60084,0.7521,0.73158,0.3886,65.49,-0.2509,0.0796,0.3305,1530.448,0.169764,-348.039301,-348.029979,-348.029034,-348.073798,31.221
COCCCOC,15.43624,0.78806,0.76786,2.0048,66.16,-0.2498,0.087,0.3367,1496.206,0.16934,-348.03123,-348.021914,-348.02097,-348.065825,30.719
OCCCCCO,13.82238,0.71797,0.69728,2.6846,64.75,-0.2624,0.0775,0.34,1567.0372,0.170131,-348.046236,-348.036897,-348.035953,-348.080684,31.727
OCCOCCO,5.74016,1.1507,1.09971,1.6142,57.86,-0.267,0.0698,0.3369,1096.1744,0.147165,-383.969892,-383.96139,-383.960446,-384.003723,29.224
OCCC(F)(F)F,5.02314,1.46124,1.43864,2.0437,39.74,-0.2805,0.0665,0.347,827.7717,0.085733,-492.022084,-492.014746,-492.013802,-492.054335,24.942
CCCC(F)(F)F,4.90629,1.44595,1.42647,2.1377,46.73,-0.3446,0.086,0.4306,885.3722,0.109275,-456.103432,-456.095918,-456.094973,-456.135756,26.166
CNCC(F)(F)F,5.01784,1.51648,1.4962,2.3821,43.79,-0.2384,0.0778,0.3162,839.2328,0.098192,-472.135006,-472.127654,-472.12671,-472.167022,25.289
COCC(F)(F)F,5.08436,1.56992,1.5493,2.813,40.58,-0.2775,0.0719,0.3493,804.8743,0.085308,-492.008892,-492.001581,-492.000636,-492.041109,24.403
CC(C)C(F)(F)F,3.38448,2.38617,1.93047,2.0582,46.27,-0.3436,0.0861,0.4298,708.6624,0.108875,-456.105229,-456.097706,-456.096761,-456.13687,26.861
CC(N)C(F)(F)F,3.44309,2.4113,1.95968,2.8282,42.91,-0.2541,0.0696,0.3237,684.917,0.097977,-472.145935,-472.13853,-472.137586,-472.177433,26.44
CC(O)C(F)(F)F,3.49806,2.41324,1.97382,1.7532,39.45,-0.2918,0.0719,0.3637,666.4632,0.085292,-492.026657,-492.019416,-492.018471,-492.058075,25.601
